Time,shortwave_radiation_instant,temperature_2m,surface_pressure,relative_humidity_2m,wind_speed_80m,rain,snowfall,cloud_cover,is_day,apparent_temperature,precipitation_probability,showers,precipitation,pressure_msl,visibility,soil_temperature_0cm,soil_temperature_6cm,uv_index,uv_index_clear_sky,shortwave_radiation,direct_radiation,direct_radiation_instant
2025-07-04 00:00:00,0.0,29.3,975.4,87,10.0,0.0,0.0,100,0,36.6,55,2.1,2.1,999.2,24140.0,29.3,31.0,0.0,0.0,0.0,0.0,0.0
2025-07-04 01:00:00,0.0,28.8,974.6,88,9.7,0.0,0.0,100,0,35.9,38,0.8,0.8,998.4,24140.0,28.8,30.5,0.0,0.0,0.0,0.0,0.0
2025-07-04 02:00:00,0.0,28.2,974.5,89,12.2,0.0,0.0,100,0,34.8,28,1.2,1.2,998.4,24140.0,28.3,30.1,0.0,0.0,0.0,0.0,0.0
2025-07-04 03:00:00,0.0,27.9,974.5,89,13.7,0.0,0.0,100,0,34.2,28,0.3,0.3,998.4,24140.0,28.1,29.8,0.0,0.0,0.0,0.0,0.0
2025-07-04 04:00:00,0.0,27.8,974.6,89,13.2,0.0,0.0,100,0,34.1,38,0.0,0.0,998.5,24140.0,28.0,29.5,0.0,0.0,0.0,0.0,0.0
2025-07-04 05:00:00,0.0,28.0,975.6,89,11.8,0.0,0.0,100,1,34.7,15,0.0,0.0,999.5,24140.0,28.2,29.7,0.0,0.0,0.0,0.0,0.0
2025-07-04 06:00:00,58.5,28.0,975.6,88,11.9,0.0,0.0,100,1,34.3,33,0.2,0.2,999.5,22460.0,28.7,29.5,0.2,0.2,28.0,0.0,0.0
2025-07-04 07:00:00,171.2,28.3,975.7,84,12.4,0.0,0.0,100,1,34.2,30,0.2,0.2,999.6,20940.0,30.3,29.8,1.1,1.15,128.0,16.0,21.4
2025-07-04 08:00:00,264.5,28.7,975.7,81,10.6,0.0,0.0,100,1,34.5,23,0.1,0.1,999.6,23220.0,31.3,30.4,2.45,2.6,223.0,50.0,59.3
2025-07-04 09:00:00,440.6,30.2,976.1,74,11.5,0.0,0.0,100,1,35.9,23,0.0,0.0,999.9,24140.0,34.5,31.6,4.3,4.3,395.0,164.0,182.9
2025-07-04 10:00:00,629.4,32.2,976.1,66,10.9,0.0,0.0,100,1,38.1,28,0.0,0.0,999.7,24140.0,39.3,33.4,5.8,5.9,588.0,318.0,340.4
2025-07-04 11:00:00,752.5,33.6,975.8,59,12.0,0.0,0.0,100,1,39.8,23,0.0,0.0,999.3,24140.0,40.2,35.5,7.0,7.05,726.0,473.0,490.3
2025-07-04 12:00:00,744.3,34.3,975.4,57,11.0,0.0,0.0,86,1,40.7,28,0.0,0.0,998.8,24140.0,41.8,36.8,5.9,7.75,739.0,469.0,472.4
2025-07-04 13:00:00,657.1,34.4,974.7,58,11.2,0.0,0.0,99,1,40.7,33,0.0,0.0,998.1,24140.0,40.4,37.5,2.15,7.7,671.0,398.0,389.7
2025-07-04 14:00:00,490.0,34.4,974.5,59,10.2,0.0,0.0,100,1,40.2,35,0.0,0.0,997.9,24140.0,39.2,37.3,2.0,7.0,516.0,276.0,262.1
2025-07-04 15:00:00,382.4,33.8,974.0,64,10.8,0.0,0.0,100,1,40.2,50,0.1,0.1,997.4,24140.0,38.3,36.9,2.2,5.65,418.0,157.0,143.6
2025-07-04 16:00:00,256.0,32.5,973.7,72,10.0,0.0,0.0,100,1,39.4,43,0.6,0.6,997.2,24140.0,34.7,36.3,1.55,4.05,295.0,100.0,86.8
2025-07-04 17:00:00,98.9,30.5,973.6,80,8.4,0.0,0.0,100,1,37.6,45,2.4,2.4,997.3,24140.0,31.6,34.7,1.1,2.35,125.0,6.0,4.7
2025-07-04 18:00:00,35.2,30.1,973.7,78,7.6,0.0,0.0,100,1,36.7,33,0.3,0.3,997.4,24140.0,30.7,33.1,0.65,0.95,57.0,0.0,0.0
2025-07-04 19:00:00,0.0,30.0,974.3,79,7.1,0.0,0.0,100,0,36.7,20,0.0,0.0,998.0,24140.0,30.1,32.2,0.1,0.15,13.0,0.0,0.0
2025-07-04 20:00:00,0.0,29.7,974.7,81,9.0,0.0,0.0,79,0,36.5,5,0.0,0.0,998.5,24140.0,29.7,31.5,0.0,0.0,0.0,0.0,0.0
2025-07-04 21:00:00,0.0,29.4,975.4,83,10.7,0.0,0.0,57,0,36.1,8,0.0,0.0,999.2,24140.0,29.4,31.1,0.0,0.0,0.0,0.0,0.0
2025-07-04 22:00:00,0.0,29.0,976.0,85,10.2,0.0,0.0,57,0,35.8,15,0.0,0.0,999.9,24140.0,29.0,30.7,0.0,0.0,0.0,0.0,0.0
2025-07-04 23:00:00,0.0,28.7,976.0,86,8.4,0.0,0.0,71,0,35.6,10,0.0,0.0,999.9,24140.0,28.8,30.4,0.0,0.0,0.0,0.0,0.0
